"PC_1","PC_2","PC_3","PC_4","PC_5","CellType"
-21.2840669210049,14.2310514601494,-11.6142788718071,-3.65988413391824,-0.945965514586619,"ductal"
-28.9836787072858,13.9477303160784,-16.7208026267591,-3.48144021559481,-0.388926820698231,"ductal"
-25.6093261025064,18.5415100491829,-13.2811395400072,-5.38883451829727,0.200858207035905,"ductal"
-27.0939909545341,20.9475434157075,-15.902477985903,-4.07162668913972,-1.98331928339401,"ductal"
-26.0300383411847,17.699126317744,-16.1747338392455,-5.52217518403604,-2.30383004889726,"ductal"
-31.7269406939342,19.0556526974862,-19.0791964906069,-6.51173718981432,-2.49111564850363,"ductal"
-27.6386708144045,17.895637353028,-14.0863714562532,-4.7442864949934,-1.24926138958219,"ductal"
-23.4815184039586,18.9010025708187,0.170512186975289,-1.86052531867995,0.115921075440829,"ductal"
-26.8344996809994,12.2388581975423,-14.4573600771497,-3.69208444783166,-1.02359265855889,"ductal"
-24.5224161548009,10.8043153533521,-12.4050118154263,-3.04819494470799,-0.184253814961165,"ductal"
-27.3308727024356,17.77055407176,-14.8185836819543,-4.33675408145803,-2.61937543373254,"ductal"
-22.6801888562887,11.4483001056885,-12.3293736867376,-3.31183565529641,-0.910033950907218,"ductal"
-18.8155946825312,14.1246177771527,-12.3851439904007,-4.4773413162174,0.405599342645725,"ductal"
-29.1127933052868,19.4742385420606,-19.44611662757,-7.10819812590811,-1.12964306264493,"ductal"
-24.8714011623247,16.3123853334464,-14.0151605389571,-5.99678651120182,-0.296111805762977,"ductal"
-24.0694649499273,10.4388150675814,-15.7839715489312,-4.67866833514473,-0.299105593783678,"ductal"
-22.8113057469031,16.567534188518,-12.877125748999,-4.60493861012731,-0.447698016722764,"ductal"
-29.264716006793,18.2418629488613,-15.5707346764125,-4.39140988918436,-0.372864271566727,"ductal"
-23.1304158656779,18.5486073607992,-14.9348659925578,-5.1668986524168,-2.54025926330974,"ductal"
-26.558980244894,16.4085045960146,-16.2706255621037,-4.63151795158467,0.0685581648432366,"ductal"
-25.9209314861131,16.8515367198482,-14.6855915603125,-5.78491591164188,-0.426624075063811,"ductal"
-17.4057951793813,17.277970936393,-8.56361890789409,-4.01317426382198,-1.19613034374258,"ductal"
-23.4884838350567,15.6795682855905,-17.6991510694976,-5.85449698052959,-0.691713506222788,"ductal"
-24.3417460180756,18.8404584697071,-17.2286244900321,-6.14022094683094,-1.51652596643778,"ductal"
-24.5182899784839,20.0647125266786,-15.0256283887519,-5.98050378254741,-0.622382147460456,"ductal"
-22.8873415627078,13.462478230224,-13.7397441342728,-3.8957984259358,0.17616335253555,"ductal"
-11.3847784891729,10.3797305331417,-9.23971768872607,-2.73199587993434,-1.70400922338744,"ductal"
-24.483798207748,14.3938880365204,-16.1985714864437,-4.68376785208942,0.183369805469345,"ductal"
-9.12236868796116,7.25993243812334,-6.16624234921919,-2.2889404654932,-0.816770577258886,"ductal"
-27.7554870448581,20.0578658052754,-13.7352103554684,-4.62862662274818,-2.23704008655949,"ductal"
-25.1310404882854,17.7360768953727,-19.4516737693808,-7.18728168373028,-0.515583603924871,"ductal"
-11.2853081476275,6.66184272809339,-10.4116812743415,-3.51981606859511,-2.54270824139134,"ductal"
-14.4019559834334,13.6061064627499,-10.5311585066627,-3.80979855122814,-0.81245563784901,"ductal"
-22.5263719643836,14.0208689468041,-11.071758626184,-4.79162718402819,0.0826552815404459,"ductal"
-19.2467455676016,17.2138309288251,-10.0063188330536,-4.32266188692641,-0.221046758698184,"ductal"
-25.2511694094036,17.5245468018399,-17.254810753097,-5.45237002826171,-1.13585935549559,"ductal"
-22.3576135253007,8.63476977992648,-15.0633134756716,-5.2262069386842,0.582516427449193,"ductal"
-24.561425145999,15.0214606621438,-14.7960530688507,-4.59051683442713,0.191811278208646,"ductal"
-23.6972393981963,16.3490243289625,-17.4385387465831,-5.47120112311097,-0.956684774896757,"ductal"
-12.8348123619493,10.5719114903542,-9.22169891965926,-3.23055750429641,-1.00919480208555,"ductal"
-27.7547999603552,16.3869875323189,-17.4474147698521,-4.21269081652263,-1.62296768682666,"ductal"
-28.1098124926345,18.029695685767,-18.3393052305699,-5.43867492140253,-1.34086683030585,"ductal"
-20.9611509380094,14.5856821026514,-15.0857177837987,-4.54027661666732,-0.651890755383732,"ductal"
-22.7322964640161,15.5936748446609,-15.1580328366908,-5.72728503328388,-0.222470783244368,"ductal"
-25.3179213620869,15.5666128436718,-18.5287807265233,-6.94424021714561,-0.566741828361912,"ductal"
-15.621724925879,13.6294921147951,-12.3168577766992,-4.29404098871972,-1.96316279441356,"ductal"
-30.4041408413771,19.950655852444,-15.7722822991762,-4.70339753556443,-2.43826981804596,"ductal"
-26.2539903575572,15.5382721315624,-17.7610945095589,-5.58321748332139,0.327216988584933,"ductal"
-29.444411510499,15.7122887238054,-18.0043189604666,-5.92875756947176,-0.259571802269077,"ductal"
-25.4880513720969,16.0611309537053,-17.9362112437903,-5.2544920422493,-0.74688157820892,"ductal"
-22.5304876184259,14.8113238458182,-15.6982261326654,-5.94338514385503,-0.893212276328824,"ductal"
-22.4625675597947,17.3873355744714,-15.2227809036072,-6.36206957930205,-0.644081370123658,"ductal"
-22.5458578250202,16.3902095979833,-14.0664370701666,-4.16817599264292,-0.988441126431021,"ductal"
-21.9762368882822,15.4547475997242,-14.0999178244437,-6.00503512276086,-1.4079722608483,"ductal"
-29.9449141454805,20.95251585234,-15.8756841756051,-4.54934704472374,-2.04629805188452,"ductal"
-24.0744065892321,10.8071274902961,-16.9650341972426,-4.81789016682548,-1.8903435954968,"ductal"
-11.1473033616372,9.06443746736417,-6.01392565981966,-0.628021959758044,-1.44171790396002,"ductal"
-26.5453287961752,17.7119060383344,-20.6682516839226,-6.92359627226364,-1.74980522735764,"ductal"
-18.9619796919512,13.3826080089957,-14.9179802690129,-5.3969437398455,-0.321267974068365,"ductal"
-24.0887988093928,15.9681644255923,-17.4503484979462,-7.86089862512708,-1.28589275914869,"ductal"
-20.7351761052363,15.7196040483977,-17.6487868508924,-6.70293954826292,0.0158056758701559,"ductal"
-15.3161753547512,13.7348103002897,-4.25604973649974,-1.97153267704531,-0.644868368776513,"ductal"
-14.3200238272837,12.0661509245008,-11.476880320362,-4.20322887243229,-0.649763028157985,"ductal"
-26.9987108130427,16.7333501167042,-17.1110740918055,-4.94838431054645,-1.2722780938916,"ductal"
-26.0148460412981,19.2622279004132,-18.5303049792024,-5.98003389209576,-0.68056530723593,"ductal"
-25.1166511155659,17.7843784135116,2.56562679221787,-1.25254554695335,2.09428445396972,"ductal"
-17.8621512911149,7.12001007197265,-12.024878256822,-3.76418722999592,0.636120847725434,"ductal"
